啊	a/ā/è/á/ǎ/à
𩴩	biāo
𩙪	biāo
䁃	biāo
䁭	biāo
颷	biāo
飚	biāo
飈	biāo
飑	biāo
猋	biāo
鏢	biāo
𧥍	biāo
𤆀	biāo
𦾑	biāo
骠	biāo
𠔂	biāo
𩽁	biāo
𨭚	biāo
𦠎	biāo
彪	biāo
骉	biāo
𤐫	biāo
𠚠	biāo
瘭	biāo
标	biāo
標	biāo/biào
脿	biāo/biào/biǎo
颩	biāo/diū
灬	biāo/huǒ
淲	biāo/hū/hǔ
䅺	biāo/miǎo
驃	biāo/piào
髟	biāo/piào/shān
驫	biāo/piāo
謤	biāo/piāo
蔈	biāo/piǎo/biào
颮	biāo/páo
𦔩	biāo/pāo
藨	biāo/pāo
穮	biāo/pāo
杓	biāo/sháo/shuó/dí/zhuó
䙳	biāo/è
𥡁	biē
𧌽	biē
憋	biē
鼈	biē
鳖	biē
𤉤	biē
𡐞	biē
䋢	biē
𡘴	biē
𣇢	biē
䳤	biē
䘷	biē
𡙀	biē
𩸁	biē
龞	biē
𢐳	biē
𪂟	biē
𥞲	biē
𨂅	biē
𤷗	biē
𧆊	biē
虌	biē
𢠳	biē
㔡	biē
鱉	biē
𣊶	biē
𩵛	biē
蟞	biē/bié
㿜	biě
瘪	biě
癟	biě/bié/biē
𦟣	biǎn
𡬲	biǎn
𥣝	biǎn
𡈯	biǎn
𤀫	biǎn
匾	biǎn
碥	biǎn
𥣰	biǎn
𪖯	biǎn
㦚	biǎn
鴘	biǎn
窆	biǎn
𢴂	biǎn
𠓫	biǎn
稨	biǎn
𡬸	biǎn
藊	biǎn
惼	biǎn
𠪂	biǎn
𦽟	biǎn
贬	biǎn
𡬯	biǎn
𨖠	biǎn/biàn
糄	biǎn/biān
貶	biǎn/fá
䁵	biǎn/huán
褊	biǎn/pián
扁	biǎn/piān/biān/pián
諘	biǎo
𧝪	biǎo
表	biǎo
裱	biǎo
檦	biǎo
錶	biǎo
褾	biǎo
㯹	biǎo
𥘤	biǎo
㠒	biǎo
婊	biǎo
𢅚	biǎo/biāo
䔸	biǎo/biāo
㟽	biǎo/biāo
萡	bo
蔔	bo/bó
卜	bo/bǔ/pū
膊	bo/pò/bó/liè
𤜕	bà
鲌	bà
𩃴	bà
覇	bà
灞	bà
壩	bà
䃻	bà
𩹏	bà
𩨜	bà
弝	bà
㶚	bà
𥝧	bà
鲅	bà
䩻	bà
𩽷	bà
䩗	bà
䎬	bà
坝	bà
𦫙	bà
𧿏	bà
䆉	bà
欛	bà
矲	bà
爸	bà/ba
垻	bà/bèi
鮊	bà/bó
靶	bà/bǎ
耙	bà/pá
跁	bà/pá
霸	bà/pò
䇑	bà/pī
粺	bài
𣧙	bài
䒔	bài
䢙	bài
𤙅	bài
拜	bài
㠔	bài
𤁣	bài
𩏞	bài
𢈕	bài
稗	bài
𡭢	bài
𤽹	bài
𩎻	bài
𡏯	bài
拝	bài
贁	bài
𣺽	bài
蛽	bài
𩋂	bài
𦳞	bài
败	bài
敗	bài
𦩋	bài
鞁	bài/bì/bèi
韛	bài/fú
猈	bài/pí
㔥	bài/pí
庍	bài/xìn/tīng
𠯘	bàn
辦	bàn
怑	bàn
瓣	bàn
㪵	bàn
办	bàn
姅	bàn
絆	bàn
𩢔	bàn
绊	bàn
𢴬	bàn
靽	bàn
𥷁	bàn
𨐱	bàn
秚	bàn
𦝤	bàn
𨐦	bàn
𦙹	bàn
鉡	bàn
𨐾	bàn/biàn
𢲔	bàn/bān/pān
㚘	bàn/hè/fú
半	bàn/pàn
伴	bàn/pàn
湴	bàn/pán
拌	bàn/pān
谤	bàng
稖	bàng
棒	bàng
䰷	bàng
𢜗	bàng
𢶶	bàng
㭋	bàng
𣘙	bàng
䖫	bàng
謗	bàng
𠨵	bàng
玤	bàng
𢮏	bàng
塝	bàng
𩦠	bàng
𡽲	bàng
艕	bàng
𢄎	bàng
䂜	bàng
𠬣	bàng
蜯	bàng
镑	bàng
徬	bàng/páng
蒡	bàng/páng
傍	bàng/páng/bēng/péng
䧛	bàng/péng
𩮗	bàng/péng/fǎng
蚌	bàng/pí/fēng/bèng
䎧	bàng/póu
磅	bàng/pāng/páng
棓	bàng/pǒu/bèi/péi/bēi
勽	bào
报	bào
𠣺	bào
𤔣	bào
鑤	bào
𩿓	bào
𡂟	bào
儤	bào
𢼌	bào
𣭀	bào
忁	bào
𤝧	bào
䤖	bào
𥄹	bào
𡉩	bào
鲍	bào
㫧	bào
骲	bào
𩾡	bào
虣	bào
菢	bào
靤	bào
曓	bào
鸔	bào
𧝘	bào
豹	bào
𩍂	bào
铇	bào
𠹕	bào
𩊅	bào
㙸	bào
𪏶	bào
𨇅	bào
𨠖	bào
髱	bào
𧭤	bào/báo
爆	bào/bó
鮑	bào/bāo/pāo
報	bào/fù
蚫	bào/páo
鉋	bào/páo/báo
袌	bào/páo/pào
暴	bào/pù/bó
抱	bào/pāo/pǒu
㲒	bào/qú
抜	bá
䳊	bá
軷	bá
菝	bá
𥎱	bá
犮	bá
炦	bá
𩙥	bá
癹	bá
𦳺	bá
𩖽	bá
㔜	bá
𧺺	bá
𢇷	bá
胈	bá
叐	bá
䟦	bá
䮂	bá
坺	bá
𧺡	bá
魃	bá
𩊤	bá
拔	bá/ba/bō/bié/fá/bèi
跋	bá/bèi
詙	bá/bó
妭	bá/bō
鼥	bá/fèi
墢	bá/fèi
颰	bá/fú
茇	bá/pèi/fèi
𪡈	bái
𦣺	bái
䳆	bái
𥬝	bái
㿟	bái
白	bái/bai/bó
窇	báo
𦡕	báo
𤿈	báo
㵡	báo
䨌	báo
䪨	báo
㿺	báo
䥤	báo
嫑	báo
𥭓	báo
雹	báo
䨔	báo
𦢊	báo/bó
薄	báo/bó/bù/bò
䈏	báo/fú
骳	bèi
珼	bèi
𠐡	bèi
㷶	bèi
僃	bèi
㫲	bèi
䡶	bèi
梖	bèi
𢂏	bèi
褙	bèi
苝	bèi
備	bèi
鋇	bèi
㾱	bèi
邶	bèi
𩇩	bèi
愂	bèi
𩚾	bèi
䩀	bèi
㸬	bèi
焙	bèi
𣖾	bèi
狽	bèi
軰	bèi
𩖠	bèi
蓓	bèi
贝	bèi
狈	bèi
鐾	bèi
䰽	bèi
𤿒	bèi
㸢	bèi
㻗	bèi
𡋭	bèi
辈	bèi
㛝	bèi
𤹲	bèi
𠋭	bèi
䔒	bèi
貝	bèi
偝	bèi
𦮷	bèi
憊	bèi
昁	bèi
輩	bèi
惫	bèi
鄁	bèi
牬	bèi
备	bèi
糒	bèi
㰆	bèi
𣬪	bèi
钡	bèi
𠢥	bèi
㣁	bèi
郥	bèi
㸽	bèi
𤳦	bèi
誖	bèi
㔨	bèi
偹	bèi
琲	bèi
㶔	bèi
碚	bèi
𦾙	bèi
𢴾	bèi
犕	bèi
俻	bèi
𧶙	bèi
被	bèi/bì/pī/pì
孛	bèi/bó
背	bèi/bēi
悖	bèi/běi
𤰈	bèi/fú
鞴	bèi/fú/bù/bài
𢻵	bèi/lù
𤜲	bèi/pèi
䟺	bèi/pèi
倍	bèi/péi
𣎵	bèi/pō
㨧	bèn
𨋒	bèn
㤓	bèn
捹	bèn
坌	bèn
𪎝	bèn
䬱	bèn
𪊜	bèn
笨	bèn
𦯀	bèn
桳	bèn
𥢊	bèn
𣴞	bèn
輽	bèn
撪	bèn
渀	bèn/bēn
倴	bèn/bēn
㮥	bèn/fàn
獖	bèn/fèn/fén
𦺑	bèng
甏	bèng
䭰	bèng
迸	bèng
㷯	bèng
蹦	bèng
镚	bèng
𡾛	bèng
𩗴	bèng
𨆊	bèng
𦝷	bèng
𧻓	bèng
塴	bèng
鏰	bèng
𪔑	bèng
𩂦	bèng
𡎾	bèng
𥖗	bèng
䨻	bèng
𧩱	bèng
𥦜	bèng
蠯	bèng
跰	bèng/pián/bǐng
泵	bèng/pìn/liú
逬	bèng/pēng
甭	béng/qì
𡚁	bì
飶	bì
駜	bì
𠩿	bì
弻	bì
饆	bì
㘩	bì
𤙞	bì
鼊	bì
獙	bì
𨸼	bì
𧥑	bì
铋	bì
䯗	bì
𨠔	bì
𩪖	bì
闭	bì
㘠	bì
堛	bì
陛	bì
荜	bì
𪏺	bì
䖩	bì
鄨	bì
鮅	bì
𣋹	bì
𡽶	bì
閇	bì
㯇	bì
䊧	bì
𦂖	bì
蜌	bì
蓖	bì
嗶	bì
髀	bì
𠮃	bì
弼	bì
𤵘	bì
躃	bì
𠽩	bì
𣁢	bì
𩪧	bì
𥢦	bì
哔	bì
𩉫	bì
𧓄	bì
㻫	bì
㙄	bì
袐	bì
繴	bì
罼	bì
𦑞	bì
襣	bì
䟆	bì
𠦈	bì
滗	bì
痹	bì
鷩	bì
𦠞	bì
梐	bì
㢰	bì
驆	bì
𣘥	bì
襞	bì
蓽	bì
𥳆	bì
㮿	bì
妼	bì
𢴩	bì
髲	bì
𨐨	bì
贔	bì
𧏻	bì
坒	bì
㱸	bì
綼	bì
煏	bì
𤂀	bì
箆	bì
𪋜	bì
𡻞	bì
㢶	bì
毖	bì
畀	bì
毕	bì
鄪	bì
怭	bì
弊	bì
篳	bì
赑	bì
𢖬	bì
鏎	bì
𥴬	bì
筚	bì
𡠚	bì
𤠺	bì
䫁	bì
㓖	bì
𣢠	bì
𥛘	bì
𧲜	bì
𤐙	bì
睤	bì
湢	bì
潷	bì
𧒀	bì
𥈗	bì
獘	bì
䧗	bì
𢲾	bì
𣥣	bì
𦱔	bì
鷝	bì
𠨘	bì
𣦢	bì
𦰙	bì
婢	bì
𩊰	bì
𤡝	bì
𣁉	bì
𤹝	bì
斃	bì
閉	bì
魓	bì
𣝍	bì
奰	bì
閟	bì
毙	bì
䋔	bì
𣩩	bì
𣮐	bì
箅	bì
熚	bì
璧	bì
䏶	bì
碧	bì
跸	bì
𪍪	bì
𣯴	bì
𢐦	bì
彃	bì
必	bì
愎	bì
𥟗	bì
疪	bì
𢁽	bì
𨵰	bì
蹕	bì
韠	bì
𥷑	bì
𤅹	bì
觱	bì
𢅩	bì
㪤	bì
滭	bì
𣦇	bì
𤗚	bì
馝	bì
𤻖	bì
诐	bì
㢸	bì
𦔆	bì
𦯛	bì
䎵	bì
𣭤	bì
畢	bì
避	bì
縪	bì
䪐	bì
𧫤	bì
𨋥	bì
狴	bì
䉾	bì
粊	bì
嬖	bì
𠈺	bì
敝	bì
佖	bì
䬛	bì
𠋯	bì
珌	bì
幣	bì
𤢣	bì
痺	bì
㿫	bì
㵥	bì
𥆯	bì
腷	bì
壁	bì
愊	bì
𡛗	bì
䕗	bì
㡀	bì
皕	bì
䁹	bì
詖	bì
貱	bì
廦	bì
躄	bì
臂	bì/bei
邲	bì/biàn
㧙	bì/bié
䟤	bì/bié
柲	bì/bié
苾	bì/bié/mì
蔽	bì/biē/piē
𨚍	bì/bèi
鐴	bì/bèi
𦤫	bì/bí
薜	bì/bò/bó/bài/pì
䮡	bì/bó
䄶	bì/bó
吡	bì/bǐ
𧳠	bì/bǐ
䠋	bì/bǐ/bāi
鞸	bì/bǐng
𠓷	bì/chéng
𨚓	bì/fèi/fú
賁	bì/fén/bēn/fèn/féi/bān/lù/pān
𨋩	bì/fú
𠡂	bì/fú
𢘍	bì/fú
䀣	bì/mà
𩲢	bì/mèi
殍	bì/piǎo
䩛	bì/pèi
𤜻	bì/pí
庳	bì/pí
裨	bì/pí
篦	bì/pí
庇	bì/pí/pǐ
𩑻	bì/pó
怶	bì/pī
枈	bì/pī
鉍	bì/sè
币	bì/yìn
㳼	bì/yù
膑	bìn
殡	bìn
擯	bìn
髕	bìn
髌	bìn
鬢	bìn
鬂	bìn
髩	bìn
臏	bìn
殯	bìn
𧸈	bìn
摈	bìn
𡦆	bìn
鬓	bìn
儐	bìn/bīn
𠊧	bìng
𢆩	bìng
𢊜	bìng
病	bìng
𥖬	bìng
𨋲	bìng
并	bìng
誁	bìng
𦡻	bìng
栤	bìng
䗒	bìng
併	bìng
靐	bìng
棅	bìng
竝	bìng
𣰜	bìng
𩮟	bìng
㓈	bìng
𦿅	bìng
倂	bìng
傡	bìng
𢔧	bìng
𨆱	bìng
並	bìng/bàn/bàng
鮩	bìng/bì
幷	bìng/bīng
摒	bìng/bǐng
寎	bìng/bǐng
偋	bìng/bǐng
庰	bìng/bǐng
𩬝	bìng/fǎng
䨆	bí
䵄	bí
𩾳	bí
鼻	bí
荸	bí
𣴨	bí
糪	bò
孹	bò
𠴸	bò
𡯳	bò
譒	bò
𡅂	bò
𩈔	bò
蘗	bò/bì
檗	bò/bì
擘	bò/bāi
𡯷	bò/kòu
䙏	bó
𦤣	bó
博	bó
欂	bó
狛	bó
䪇	bó
㬍	bó
㟑	bó
䪬	bó
𦼭	bó
㼎	bó
牔	bó
䭯	bó
馎	bó
𩃶	bó
䰊	bó
钹	bó
䞳	bó
胉	bó
䑈	bó
愽	bó
瓝	bó
𦤚	bó
舶	bó
帛	bó
僰	bó
鑮	bó
仢	bó
㩭	bó
𢐾	bó
𩗓	bó
𩙦	bó
挬	bó
𩄿	bó
礴	bó
𩗀	bó
葧	bó
𥹸	bó
𧟱	bó
䬪	bó
𩱚	bó
箔	bó
𢠺	bó
犦	bó
餺	bó
𨈩	bó
袯	bó
𦃙	bó
𤶋	bó
搏	bó
𣋵	bó
㼟	bó
鈸	bó
䶈	bó
䢌	bó
亳	bó
𦯉	bó
㬧	bó
郣	bó
馛	bó
𪌰	bó
鋍	bó
𩗒	bó
㹀	bó
𠧛	bó
𠮭	bó
浡	bó
䢪	bó
镈	bó
煿	bó
𤒔	bó
襮	bó
鎛	bó
䗚	bó
𦽮	bó
𩣡	bó
𦈞	bó
𪙍	bó
𩟕	bó
勃	bó
𤚽	bó
艊	bó
𢩞	bó
㗘	bó
䮀	bó
𣭷	bó
鵓	bó
䍸	bó
㼣	bó
懪	bó
𩷚	bó
㩧	bó
𨏫	bó
𣛓	bó
鹁	bó
簙	bó
𣧧	bó
𩓐	bó
𣽡	bó
秡	bó
䊿	bó
鉑	bó
侼	bó
𥴮	bó
㶿	bó
𠷺	bó
𢣞	bó
駮	bó
𦋉	bó
駁	bó
𧇚	bó
𤃵	bó
𥜖	bó
𩏯	bó
𡋯	bó
𠸳	bó
𥭖	bó
𤗺	bó
𦰬	bó
铂	bó
礡	bó
䂍	bó
驳	bó
𪍡	bó
渤	bó
㴾	bó
䳁	bó
𩽛	bó
䥬	bó
𢫯	bó
𤾝	bó
伯	bó/bo/mò/bà
㪍	bó/bèi
䌟	bó/bì
䵗	bó/bí
脖	bó/bō
肑	bó/dí
襏	bó/fèi
䯋	bó/fèi
䟛	bó/fèi/bèi
𩍿	bó/fù
𩌏	bó/fú/bù/fù
艴	bó/fú/pèi
豰	bó/hù/huò/gòu
𢺽	bó/jiào
髉	bó/jué
袹	bó/mò
桲	bó/po
嚗	bó/pào/bào
瓟	bó/páo
犻	bó/pèi/fèi
馞	bó/pò
猼	bó/pò
髆	bó/pò
𨍭	bó/pò
踣	bó/pòu
苩	bó/pā
𧉩	bù
郶	bù
䊇	bù
𨋞	bù
蔀	bù
歩	bù
埗	bù
怖	bù
𫐓	bù
𨛒	bù
咘	bù
𢁻	bù
𤚵	bù
𩻗	bù
𩊶	bù
𢇴	bù
䴺	bù
㳍	bù
悑	bù
𫗦	bù
㘵	bù
𩊬	bù
䒀	bù
𩢕	bù
𩅇	bù
𩷖	bù
㾟	bù
䝵	bù
㚴	bù
𤸵	bù
佈	bù
钚	bù
钸	bù
布	bù
歨	bù
𠘁	bù
勏	bù
𥑢	bù
𥳖	bù
篰	bù
𥹴	bù
埠	bù
踄	bù
𠜙	bù
𩣝	bù
步	bù
餢	bù
䑰	bù
䍌	bù
㻉	bù
不	bù/bu/fǒu/fōu/fū
簿	bù/bó
䬏	bù/fǒu
䏽	bù/péi
荹	bù/pú
捗	bù/pú/zhì
柨	bù/pū
抪	bù/pū/bá
瓿	bù/pǒu
部	bù/pǒu
埔	bù/pǔ
轐	bú
鳪	bú
𥻞	bú
醭	bú
𩠀	bā
㿬	bā
羓	bā
釛	bā
𢻷	bā
𢠭	bā
𤣸	bā
夿	bā
岜	bā
𠵺	bā
仈	bā
𩚥	bā
朳	bā
釟	bā
㺴	bā
𤤒	bā
𧎱	bā
玐	bā
巼	bā
鲃	bā
八	bā
𧲧	bā
𡚭	bā
粑	bā
𩡩	bā
𠛋	bā
㸭	bā
哵	bā
𦓧	bā
蚆	bā
疤	bā
𤜱	bā
𨊹	bā
豝	bā
捌	bā/bié
䰾	bā/bà
䶕	bā/bà
扒	bā/bài/bié/pá
㭭	bā/bèi/biē
柭	bā/fú/bó/biē/pèi
鈀	bā/pá/bǎ
芭	bā/pā
𢛞	bāi
挀	bāi
掰	bāi
㓦	bāi
𨃅	bāi
䪹	bāi/pī/péi
𧇥	bān
𠦒	bān
辬	bān
𠚼	bān
斒	bān
瘢	bān
𠺚	bān
班	bān
𨭉	bān
𦎊	bān
斑	bān
𣪂	bān
颁	bān
𩔮	bān
𤫫	bān
𤦦	bān
𥹓	bān
𪉒	bān
𩿉	bān
𤡰	bān
𪄕	bān
癍	bān
𠔯	bān
攽	bān/bīn
頒	bān/fén
鳻	bān/fén
𤳖	bān/fān
𪒋	bān/pán
䈲	bān/pán
褩	bān/pán
䃑	bān/pán
般	bān/pán/bǎn/bō
螌	bān/pán/huàn
扳	bān/pān
搬	bān/sù
鞤	bāng
梆	bāng
邫	bāng
捠	bāng
𣮡	bāng
𨢐	bāng
𤱵	bāng
𠳐	bāng
幇	bāng
邦	bāng
幫	bāng
𢸌	bāng
𦰥	bāng
𠲑	bāng
垹	bāng
帮	bāng
㨍	bāng
㿶	bāng
𩍗	bāng
𢁏	bāng
㙃	bāng
䩷	bāng
幚	bāng
𤚰	bāng
縍	bāng/bàng
浜	bāng/bīn
煲	bāo
蕔	bāo
孢	bāo
𨚔	bāo
勹	bāo
笣	bāo
𠣒	bāo
𧵢	bāo
闁	bāo
龅	bāo
𠅬	bāo
褒	bāo
𡶄	bāo
齙	bāo
苞	bāo/páo/biāo
包	bāo/páo/fú
胞	bāo/páo/pào
襃	bāo/póu
𩔹	bēi
鵯	bēi
𦈶	bēi
錃	bēi
鹎	bēi
𤵛	bēi
𦩖	bēi
𤿾	bēi
𢃍	bēi
㽡	bēi
悲	bēi
𦈧	bēi
盃	bēi
𥏓	bēi
藣	bēi
桮	bēi
𣬍	bēi
㗗	bēi
𥶓	bēi
碑	bēi
𤷁	bēi
揹	bēi
禆	bēi
𧼠	bēi
杯	bēi
䎱	bēi/bà
䥯	bēi/bà
陂	bēi/bì/pō/pí
襬	bēi/bǎi
卑	bēi/bǐ/bì/pí/bān
錍	bēi/pī/bī/pí
锛	bēn
犇	bēn
𩣺	bēn
錛	bēn
𣳰	bēn
贲	bēn
𪑖	bēn
𩧼	bēn
泍	bēn/bèn
逩	bēn/bèn
奔	bēn/bèn/fèn
栟	bēn/bīng
伻	bēng
𦅈	bēng
𣂤	bēng
𨸂	bēng
𥛱	bēng
嵭	bēng
崩	bēng
𡡈	bēng
㔙	bēng
䨜	bēng
𨕧	bēng
𢆸	bēng
䑫	bēng
𠜳	bēng
𨻱	bēng
綳	bēng
𣨥	bēng
閍	bēng
嘣	bēng
𢉁	bēng
𤙾	bēng
𢐒	bēng
𥞩	bēng/hé
嗙	bēng/bàng/pǎng
𨹹	bēng/bèng
絣	bēng/bīng/pēng
祊	bēng/fāng
奟	bēng/kēng
𠡮	bēng/kēng
𤡭	bēng/péng
傰	bēng/péng
痭	bēng/péng/bìng
𡶤	bēng/yòng
𧋲	běi
㤳	běi
鉳	běi
𧉥	běi
䋳	běi
北	běi/bèi
𣄏	běn
苯	běn
楍	běn
畚	běn
㡷	běn
㮺	běn
翉	běn
奙	běn
本	běn/bēn
𦂌	běng
鞛	běng
䙀	běng
𤫬	běng
𧚭	běng
㑟	běng
𨓁	běng
𩊌	běng
琫	běng
䳞	běng
𧑑	běng
菶	běng
䋽	běng
埲	běng/bàng
𥀂	běng/bāng
绷	běng/bēng
繃	běng/bēng/bèng
埄	běng/fēng
唪	běng/fěng
䩬	běng/fěng
𩑚	běng/lèi
琣	běng/pěi
鵖	bī
鰏	bī
䮠	bī
𢟵	bī
𨲋	bī
逼	bī
𣚡	bī
㡙	bī
屄	bī
毴	bī
𨻼	bī
楅	bī
鲾	bī
𩧿	bī
𢡅	bī
𥏠	bī
𧤃	bī
𤝸	bī
豍	bī/biǎn
䫾	bī/bì
𩭧	bī/bān
䚜	bī/bēi
偪	bī/fù
螕	bī/pī
鎞	bī/pī
霦	bīn
𪇕	bīn
𧷟	bīn
𡦻	bīn
𣢏	bīn
槟	bīn
邠	bīn
镔	bīn
斌	bīn
顮	bīn
濱	bīn
𢲰	bīn
傧	bīn
𠴇	bīn
𩆱	bīn
賓	bīn
瑸	bīn
䨈	bīn
𩴱	bīn
宾	bīn
𥃰	bīn
滨	bīn
䚔	bīn
賔	bīn
椕	bīn
繽	bīn
䧬	bīn
虨	bīn
𡧼	bīn
𨐰	bīn
缤	bīn
鑌	bīn
𣰨	bīn
瀕	bīn
𣉮	bīn
濒	bīn
㻞	bīn/bān
彬	bīn/bān
豳	bīn/bān
玢	bīn/fēn
砏	bīn/fēn/pīn
豩	bīn/huān
璸	bīn/pián
汃	bīn/pà/pā
𨽗	bīn/pín
氷	bīng
冫	bīng
仒	bīng
仌	bīng
𢎴	bīng
𩋒	bīng
掤	bīng
𪑰	bīng
𥲂	bīng
𡲍	bīng
䔊	bīng
𨹗	bīng
兵	bīng
梹	bīng/bīn
檳	bīng/bīn
冰	bīng/níng
䝛	bō
鱍	bō
剝	bō
䭦	bō
袰	bō
僠	bō
碆	bō
驋	bō
菠	bō
嶓	bō
钵	bō
𨭂	bō
𠺣	bō
癶	bō
𩧯	bō
饽	bō
𧙄	bō
蹳	bō
拨	bō
餑	bō
缽	bō
玻	bō
𩯌	bō
𡀖	bō
𢂍	bō
𥮯	bō
癷	bō
𦲱	bō
㞈	bō
𧲯	bō
𠱀	bō
𤜧	bō
𤗳	bō
𩬸	bō
鉢	bō
盋	bō
𩜥	bō
啵	bō/bo
鮁	bō/bà
趵	bō/bào/zhuó/chuò/páo
紴	bō/bì
剥	bō/bāo/pū
波	bō/bēi/bì
播	bō/bǒ
撥	bō/fá
帗	bō/fú
袚	bō/fú
磻	bō/pán
䃗	bō/zhuó
逋	bū
𧻷	bū
𩺼	bū
𠚉	bū
𩶉	bū
鈽	bū
庯	bū
晡	bū
𥪀	bū
誧	bū
峬	bū
餔	bū/bù
鵏	bū/pū/pú/bǔ
𢃳	bǎ
𢺞	bǎ
钯	bǎ
把	bǎ/bà/pá
㞎	bǎ/pā
瓸	bǎi
𠫛	bǎi
擺	bǎi
摆	bǎi
栢	bǎi
粨	bǎi
䙓	bǎi
柏	bǎi/bó/bò
百	bǎi/bó/mò
捭	bǎi/bā/bǐ
佰	bǎi/mò
絔	bǎi/mò
䉽	bǎn
粄	bǎn
𡯘	bǎn
魬	bǎn
䬳	bǎn
瓪	bǎn
坂	bǎn
蝂	bǎn
𠧫	bǎn
岅	bǎn
𧿨	bǎn
鈑	bǎn
阪	bǎn
钣	bǎn
版	bǎn
舨	bǎn
𧌿	bǎn
昄	bǎn
板	bǎn
㮄	bǎng
绑	bǎng
綁	bǎng
𣮧	bǎng
𦾭	bǎng
榜	bǎng/bēng/bàng/páng
膀	bǎng/páng/pāng/bàng/pǎng
牓	bǎng/pāng
䭋	bǎo
媬	bǎo
䭸	bǎo
𩬽	bǎo
𠤏	bǎo
𩭼	bǎo
宝	bǎo
駂	bǎo
𡧖	bǎo
䳰	bǎo
鳵	bǎo
飽	bǎo
寚	bǎo
饱	bǎo
靌	bǎo
㙅	bǎo
𨰦	bǎo
䴐	bǎo
緥	bǎo
鴇	bǎo
保	bǎo
褓	bǎo
寳	bǎo
珤	bǎo
㻄	bǎo
寶	bǎo
賲	bǎo
𨰻	bǎo
䎂	bǎo
鸨	bǎo
堢	bǎo
𤞥	bǎo
䳈	bǎo
怉	bǎo/bào
葆	bǎo/bāo
堡	bǎo/bǔ/pù
𩛞	bǎo/něi/piǎo
宲	bǎo/shí
𤹦	bǐ
𡳄	bǐ
𪐄	bǐ
鄙	bǐ
佊	bǐ
朼	bǐ
𨟵	bǐ
疕	bǐ
𠛡	bǐ
𠬈	bǐ
𠧅	bǐ
秕	bǐ
夶	bǐ
貏	bǐ
彼	bǐ
聛	bǐ
𨅗	bǐ
